"","sample_name","SEQUENCES","library_ID","title","library_strategy","library_source","library_selection","library_layout","platform","instrument_model","design_description","filetype"
"31","GOM23_S15_N12_18S","6782_GOM_S15_N12_18S_DNA_orig_S95_L001_R1_001.fastq.gz, 6782_GOM_S15_N12_18S_DNA_orig_S95_L001_R2_001.fastq.gz, 6782_GOM_S15_N12_18S_DNA_S189_L001_R1_001.fastq.gz, 6782_GOM_S15_N12_18S_DNA_S189_L001_R2_001.fastq.gz","GOM23_S15_N12_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"32","GOM23_S15_N6_18S","6782_GOM_S15_N6_18S_DNA_orig_S56_L001_R1_001.fastq.gz, 6782_GOM_S15_N6_18S_DNA_orig_S56_L001_R2_001.fastq.gz, 6782_GOM_S15_N6_18S_DNA_S150_L001_R1_001.fastq.gz, 6782_GOM_S15_N6_18S_DNA_S150_L001_R2_001.fastq.gz","GOM23_S15_N6_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"33","GOM23_S15_N7_18S","6782_GOM_S15_N7_18S_DNA_orig_S64_L001_R1_001.fastq.gz, 6782_GOM_S15_N7_18S_DNA_orig_S64_L001_R2_001.fastq.gz, 6782_GOM_S15_N7_18S_DNA_S158_L001_R1_001.fastq.gz, 6782_GOM_S15_N7_18S_DNA_S158_L001_R2_001.fastq.gz","GOM23_S15_N7_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"34","GOM23_S15_N8_18S","6782_GOM_S15_N8_18S_DNA_orig_S71_L001_R1_001.fastq.gz, 6782_GOM_S15_N8_18S_DNA_orig_S71_L001_R2_001.fastq.gz, 6782_GOM_S15_N8_18S_DNA_S165_L001_R1_001.fastq.gz, 6782_GOM_S15_N8_18S_DNA_S165_L001_R2_001.fastq.gz","GOM23_S15_N8_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"35","GOM23_S15_N9_18S","6782_GOM_S15_N9_18S_DNA_orig_S79_L001_R1_001.fastq.gz, 6782_GOM_S15_N9_18S_DNA_orig_S79_L001_R2_001.fastq.gz, 6782_GOM_S15_N9_18S_DNA_S173_L001_R1_001.fastq.gz, 6782_GOM_S15_N9_18S_DNA_S173_L001_R2_001.fastq.gz","GOM23_S15_N9_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"36","GOM23_S1_N10_18S","6782_GOM23_S1_N10_18S_DNA_REP2_orig_S9_L001_R1_001.fastq.gz, 6782_GOM23_S1_N10_18S_DNA_REP2_orig_S9_L001_R2_001.fastq.gz, 6782_GOM23_S1_N10_18S_DNA_REP2_S104_L001_R1_001.fastq.gz, 6782_GOM23_S1_N10_18S_DNA_REP2_S104_L001_R2_001.fastq.gz","GOM23_S1_N10_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"37","GOM23_S1_N5_18S","6782_GOM23_S1_N5_18S_DNA_REP1_orig_S1_L001_R1_001.fastq.gz, 6782_GOM23_S1_N5_18S_DNA_REP1_orig_S1_L001_R2_001.fastq.gz, 6782_GOM23_S1_N5_18S_DNA_REP1_S96_L001_R1_001.fastq.gz, 6782_GOM23_S1_N5_18S_DNA_REP1_S96_L001_R2_001.fastq.gz","GOM23_S1_N5_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"38","GOM23_S2_N11_18S","6782_GOM23_S2_N11_18S_DNA_REP1_orig_S57_L001_R1_001.fastq.gz, 6782_GOM23_S2_N11_18S_DNA_REP1_orig_S57_L001_R2_001.fastq.gz, 6782_GOM23_S2_N11_18S_DNA_REP1_S151_L001_R1_001.fastq.gz, 6782_GOM23_S2_N11_18S_DNA_REP1_S151_L001_R2_001.fastq.gz, 6782_GOM23_S2_N11_18S_DNA_REP2_orig_S65_L001_R1_001.fastq.gz, 6782_GOM23_S2_N11_18S_DNA_REP2_orig_S65_L001_R2_001.fastq.gz, 6782_GOM23_S2_N11_18S_DNA_REP2_S159_L001_R1_001.fastq.gz, 6782_GOM23_S2_N11_18S_DNA_REP2_S159_L001_R2_001.fastq.gz","GOM23_S2_N11_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"39","GOM23_S2_N1_18S","6782_GOM23_S2_N1_18S_DNA_REP2_orig_S17_L001_R1_001.fastq.gz, 6782_GOM23_S2_N1_18S_DNA_REP2_orig_S17_L001_R2_001.fastq.gz, 6782_GOM23_S2_N1_18S_DNA_REP2_S112_L001_R1_001.fastq.gz, 6782_GOM23_S2_N1_18S_DNA_REP2_S112_L001_R2_001.fastq.gz","GOM23_S2_N1_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"40","GOM23_S2_N3_18S","6782_GOM23_S2_N3_18S_DNA_REP1_orig_S25_L001_R1_001.fastq.gz, 6782_GOM23_S2_N3_18S_DNA_REP1_orig_S25_L001_R2_001.fastq.gz, 6782_GOM23_S2_N3_18S_DNA_REP1_S120_L001_R1_001.fastq.gz, 6782_GOM23_S2_N3_18S_DNA_REP1_S120_L001_R2_001.fastq.gz","GOM23_S2_N3_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"41","GOM23_S2_N6_18S","6782_GOM23_S2_N6_18S_DNA_REP1_orig_S33_L001_R1_001.fastq.gz, 6782_GOM23_S2_N6_18S_DNA_REP1_orig_S33_L001_R2_001.fastq.gz, 6782_GOM23_S2_N6_18S_DNA_REP1_S128_L001_R1_001.fastq.gz, 6782_GOM23_S2_N6_18S_DNA_REP1_S128_L001_R2_001.fastq.gz, 6782_GOM23_S2_N6_18S_DNA_REP2_orig_S41_L001_R1_001.fastq.gz, 6782_GOM23_S2_N6_18S_DNA_REP2_orig_S41_L001_R2_001.fastq.gz, 6782_GOM23_S2_N6_18S_DNA_REP2_S136_L001_R1_001.fastq.gz, 6782_GOM23_S2_N6_18S_DNA_REP2_S136_L001_R2_001.fastq.gz","GOM23_S2_N6_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"42","GOM23_S2_N8_18S","6782_GOM23_S2_N8_18S_DNA_REP2_orig_S49_L001_R1_001.fastq.gz, 6782_GOM23_S2_N8_18S_DNA_REP2_orig_S49_L001_R2_001.fastq.gz, 6782_GOM23_S2_N8_18S_DNA_REP2_S143_L001_R1_001.fastq.gz, 6782_GOM23_S2_N8_18S_DNA_REP2_S143_L001_R2_001.fastq.gz","GOM23_S2_N8_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
