SAMPLES,YEAR,stn,nisk,barcode,rep,Sample_Ctrl,Station,Niskin,DEPTH
GOM23_S3_N1_18S_S166,GOM23,S3,N1,18S,S166,Sample,3,1,1234.265
GOM23_S3_N12_18S_orig,GOM23,S3,N12,18S,orig,Sample,3,12,2.579
GOM23_S3_N12_18S_S144,GOM23,S3,N12,18S,S144,Sample,3,12,2.579
GOM23_S3_N2_18S_orig,GOM23,S3,N2,18S,orig,Sample,3,2,1098.284
GOM23_S3_N2_18S_S174,GOM23,S3,N2,18S,S174,Sample,3,2,1098.284
GOM23_S3_N3_18S_orig,GOM23,S3,N3,18S,orig,Sample,3,3,898.349
GOM23_S3_N3_18S_S182,GOM23,S3,N3,18S,S182,Sample,3,3,898.349
GOM23_S3_N4_18S_orig,GOM23,S3,N4,18S,orig,Sample,3,4,698.194
GOM23_S3_N4_18S_S97,GOM23,S3,N4,18S,S97,Sample,3,4,698.194
GOM23_S3_N5_18S_orig,GOM23,S3,N5,18S,orig,Sample,3,5,549.566
GOM23_S3_N5_18S_S105,GOM23,S3,N5,18S,S105,Sample,3,5,549.566
GOM23_S3_N6_18S_orig,GOM23,S3,N6,18S,orig,Sample,3,6,401.19
GOM23_S3_N6_18S_S113,GOM23,S3,N6,18S,S113,Sample,3,6,401.19
GOM23_S3_N7_18S_orig,GOM23,S3,N7,18S,orig,Sample,3,7,150.128
GOM23_S3_N7_18S_S121,GOM23,S3,N7,18S,S121,Sample,3,7,150.128
GOM23_S3_N8_18S_orig,GOM23,S3,N8,18S,orig,Sample,3,8,64.991
GOM23_S3_N8_18S_S129,GOM23,S3,N8,18S,S129,Sample,3,8,64.991
GOM23_S3_N9_18S_orig,GOM23,S3,N9,18S,orig,Sample,3,9,29.003
GOM23_S3_N9_18S_S137,GOM23,S3,N9,18S,S137,Sample,3,9,29.003
GOM23_S4_N1_18S_orig,GOM23,S4,N1,18S,orig,Sample,4,1,1723.698
GOM23_S4_N1_18S_S152,GOM23,S4,N1,18S,S152,Sample,4,1,1723.698
GOM23_S4_N10_18S_orig,GOM23,S4,N10,18S,orig,Sample,4,10,25.322
GOM23_S4_N10_18S_S114,GOM23,S4,N10,18S,S114,Sample,4,10,25.322
GOM23_S4_N11_18S_orig,GOM23,S4,N11,18S,orig,Sample,4,11,2.231
GOM23_S4_N11_18S_S122,GOM23,S4,N11,18S,S122,Sample,4,11,2.231
GOM23_S4_N2_18S_orig,GOM23,S4,N2,18S,orig,Sample,4,2,1723.756
GOM23_S4_N2_18S_S160,GOM23,S4,N2,18S,S160,Sample,4,2,1723.756
GOM23_S4_N3_18S_orig,GOM23,S4,N3,18S,orig,Sample,4,3,1499.746
GOM23_S4_N3_18S_S167,GOM23,S4,N3,18S,S167,Sample,4,3,1499.746
GOM23_S4_N4_18S_orig,GOM23,S4,N4,18S,orig,Sample,4,4,1249.619
GOM23_S4_N4_18S_S175,GOM23,S4,N4,18S,S175,Sample,4,4,1249.619
GOM23_S4_N5_18S_orig,GOM23,S4,N5,18S,orig,Sample,4,5,999.159
GOM23_S4_N5_18S_S183,GOM23,S4,N5,18S,S183,Sample,4,5,999.159
GOM23_S4_N6_18S_orig,GOM23,S4,N6,18S,orig,Sample,4,6,749.59
GOM23_S4_N6_18S_S98,GOM23,S4,N6,18S,S98,Sample,4,6,749.59
GOM23_S4_N9_18S_orig,GOM23,S4,N9,18S,orig,Sample,4,9,70.191
GOM23_S4_N9_18S_S106,GOM23,S4,N9,18S,S106,Sample,4,9,70.191
GOM23_S5_N1_18S_orig,GOM23,S5,N1,18S,orig,Sample,5,1,2386.695
GOM23_S5_N1_18S_S130,GOM23,S5,N1,18S,S130,Sample,5,1,2386.695
GOM23_S5_N10_18S_orig,GOM23,S5,N10,18S,orig,Sample,5,10,60.34
GOM23_S5_N10_18S_S176,GOM23,S5,N10,18S,S176,Sample,5,10,60.34
GOM23_S5_N11_18S_orig,GOM23,S5,N11,18S,orig,Sample,5,11,20.618
GOM23_S5_N11_18S_S184,GOM23,S5,N11,18S,S184,Sample,5,11,20.618
GOM23_S5_N12_18S_orig,GOM23,S5,N12,18S,orig,Sample,5,12,2.376
GOM23_S5_N12_18S_S99,GOM23,S5,N12,18S,S99,Sample,5,12,2.376
GOM23_S5_N2_18S_orig,GOM23,S5,N2,18S,orig,Sample,5,2,2197.881
GOM23_S5_N3_18S_orig,GOM23,S5,N3,18S,orig,Sample,5,3,1795.818
GOM23_S5_N3_18S_S145,GOM23,S5,N3,18S,S145,Sample,5,3,1795.818
GOM23_S5_N4_18S_orig,GOM23,S5,N4,18S,orig,Sample,5,4,1497.906
GOM23_S5_N4_18S_S153,GOM23,S5,N4,18S,S153,Sample,5,4,1497.906
GOM23_S5_N5_18S_orig,GOM23,S5,N5,18S,orig,Sample,5,5,1250.302
GOM23_S5_N5_18S_S161,GOM23,S5,N5,18S,S161,Sample,5,5,1250.302
GOM23_S5_N6_18S_orig,GOM23,S5,N6,18S,orig,Sample,5,6,998.988
GOM23_S5_N6_18S_S168,GOM23,S5,N6,18S,S168,Sample,5,6,998.988
GOM23_S7_N10_18S_orig,GOM23,S7,N10,18S,orig,Sample,7,10,59.472
GOM23_S7_N10_18S_S162,GOM23,S7,N10,18S,S162,Sample,7,10,59.472
GOM23_S7_N11_18S_orig,GOM23,S7,N11,18S,orig,Sample,7,11,9.882
GOM23_S7_N11_18S_S169,GOM23,S7,N11,18S,S169,Sample,7,11,9.882
GOM23_S7_N12_18S_orig,GOM23,S7,N12,18S,orig,Sample,7,12,2.746
GOM23_S7_N12_18S_S177,GOM23,S7,N12,18S,S177,Sample,7,12,2.746
GOM23_S7_N2_18S_orig,GOM23,S7,N2,18S,orig,Sample,7,2,1648.465
GOM23_S7_N2_18S_S107,GOM23,S7,N2,18S,S107,Sample,7,2,1648.465
GOM23_S7_N3_18S_orig,GOM23,S7,N3,18S,orig,Sample,7,3,1398.628
GOM23_S7_N3_18S_S115,GOM23,S7,N3,18S,S115,Sample,7,3,1398.628
GOM23_S7_N4_18S_orig,GOM23,S7,N4,18S,orig,Sample,7,4,1148.026
GOM23_S7_N4_18S_S123,GOM23,S7,N4,18S,S123,Sample,7,4,1148.026
GOM23_S7_N5_18S_orig,GOM23,S7,N5,18S,orig,Sample,7,5,898.857
GOM23_S7_N5_18S_S131,GOM23,S7,N5,18S,S131,Sample,7,5,898.857
GOM23_S7_N6_18S_orig,GOM23,S7,N6,18S,orig,Sample,7,6,648.659
GOM23_S7_N6_18S_S138,GOM23,S7,N6,18S,S138,Sample,7,6,648.659
GOM23_S7_N7_18S_orig,GOM23,S7,N7,18S,orig,Sample,7,7,399.476
